Benchmark,Penalty_Value,T_Size,Delta_Prob,Norm_Neg_HV
DTLZ4,5,7,0.97 ,-0.973965182
DTLZ2,5,7,0.97 ,-0.975976177
DTLZ2,1,5,0.32 ,-0.973989175
WFG1,5,7,0.97 ,-0.786513393
WFG1,10,2,0.69 ,-0.750581613
WFG4,5,7,0.97 ,-0.954799913
WFG4,2,9,0.11 ,-0.941242592
WFG8,5,7,0.97 ,-0.879367663
WFG8,1,9,0.51 ,-0.906339985
WFG4,1,9,0.51 ,-0.967726156
DTLZ2,1,9,0.51 ,-0.979745185
DTLZ4,1,9,0.51 ,-0.977001973
WFG1,1,9,0.51 ,-0.784446815
WFG4,5,2,0.90 ,-0.962928407
DTLZ2,5,2,0.90 ,-0.982264003
WFG8,5,2,0.90 ,-0.887541757
DTLZ4,5,2,0.90 ,-0.979076991
Viennet3,1,9,0.51 ,-1.002058251
WFG8,5,2,0.16 ,-0.888479846
DTLZ7,1,9,0.51 ,-0.921756358
DTLZ4,2,4,0.79 ,-0.975917993
DTLZ4,1,9,0.51 ,-0.975155315
DTLZ2,10,6,0.38 ,-0.982741917
DTLZ4,10,6,0.38 ,-0.979869108
Viennet3,10,6,0.38 ,-1.001542487
DTLZ7,10,6,0.38 ,-0.936230806
DTLZ4,10,6,0.38 ,-0.977453949
WFG8,10,6,0.38 ,-0.872029958
WFG4,10,6,0.38 ,-0.942474679
WFG8,1,9,0.51 ,-0.908031993
DTLZ2,2,6,0.68 ,-0.964696114
DTLZ7,1,9,0.51 ,-0.906329229
DTLZ2,10,3,0.02 ,-0.97816552
WFG1,1,9,0.51 ,-0.793675766
WFG1,1,3,0.90 ,-0.774045342
DTLZ2,1,9,0.51 ,-0.980239469
Viennet3,5,10,0.30 ,-1.000427984
WFG4,1,9,0.51 ,-0.963604049
WFG1,10,8,0.83 ,-0.766417127
Viennet3,1,9,0.51 ,-0.997741001
Viennet3,1,9,0.51 ,-1.000124788
DTLZ2,5,5,0.61 ,-0.979493354
WFG4,1,9,0.51 ,-0.958803912
WFG1,1,7,0.21 ,-0.798859864
Viennet3,1,7,0.21 ,-1.000298112
WFG4,1,7,0.21 ,-0.975686852
Viennet3,1,7,0.21 ,-1.001202714
WFG8,1,7,0.21 ,-0.882404458
WFG4,1,7,0.21 ,-0.947254028
WFG1,1,7,0.21 ,-0.779190236
WFG1,1,9,0.51 ,-0.811288257
WFG4,10,8,0.58 ,-0.948056513
WFG8,1,9,0.51 ,-0.904048381
WFG8,2,5,0.25 ,-0.886596699
DTLZ4,1,9,0.51 ,-0.978918109
DTLZ2,1,9,0.51 ,-0.977972164
Viennet3,1,8,0.46 ,-0.99994134
DTLZ7,1,9,0.51 ,-0.819289105
Viennet3,2,10,0.93 ,-1.000764386
DTLZ2,2,10,0.93 ,-0.985897608
WFG1,2,10,0.93 ,-0.797209805
WFG8,1,9,0.51 ,-0.887607907
DTLZ2,10,3,0.27 ,-0.97997814
WFG1,1,9,0.51 ,-0.794745226
WFG1,1,3,0.66 ,-0.744857655
WFG4,1,9,0.51 ,-0.970680549
WFG1,5,6,0.05 ,-0.778221806
Viennet3,1,9,0.51 ,-0.997601979
WFG8,1,7,0.76 ,-0.890540424
DTLZ4,1,9,0.51 ,-0.980777949
Viennet3,5,4,0.41 ,-1.000015113
DTLZ7,1,9,0.51 ,-0.912113379
WFG1,2,2,0.54 ,-0.774565714
DTLZ2,1,9,0.51 ,-0.965865249
DTLZ4,10,10,0.13 ,-0.975057555
DTLZ7,1,9,0.51 ,-0.921387103
WFG8,5,9,0.72 ,-0.874447794
WFG8,1,9,0.51 ,-0.892512008
WFG4,1,9,0.51 ,-0.955399434
WFG4,1,10,0.45 ,-0.964893268
DTLZ2,1,9,0.51 ,-0.978113412
WFG8,5,10,0.39 ,-0.89530922
DTLZ4,5,10,0.39 ,-0.979218598
DTLZ7,5,10,0.39 ,-0.888562605
DTLZ2,5,10,0.39 ,-0.98035345
WFG1,5,10,0.39 ,-0.759948631
DTLZ7,5,10,0.39 ,-0.910024673
WFG8,5,10,0.39 ,-0.88491483
DTLZ4,5,10,0.39 ,-0.985176657
WFG8,5,10,0.39 ,-0.875103706
WFG1,5,10,0.39 ,-0.763919601
DTLZ2,5,10,0.39 ,-0.973231504
WFG4,5,10,0.39 ,-0.95539318
WFG4,5,10,0.39 ,-0.963625521
DTLZ2,5,10,0.39 ,-0.975232308
WFG4,5,10,0.39 ,-0.956490733
WFG1,1,9,0.51 ,-0.757177808
DTLZ7,5,10,0.09 ,-0.908217338
DTLZ2,5,10,0.09 ,-0.978041163
Viennet3,5,10,0.09 ,-0.999998018
Viennet3,5,10,0.09 ,-0.999263226
DTLZ4,5,10,0.09 ,-0.974584962
WFG4,5,10,0.09 ,-0.958110232
WFG4,5,10,0.09 ,-0.959027088
DTLZ4,5,10,0.09 ,-0.982155973
DTLZ4,5,10,0.09 ,-0.977939286
WFG4,5,10,0.09 ,-0.938106456
DTLZ7,5,10,0.09 ,-0.941055797
DTLZ7,5,10,0.09 ,-0.940547914
WFG1,5,10,0.09 ,-0.753700775
DTLZ2,5,10,0.09 ,-0.980483945
WFG1,5,10,0.09 ,-0.795174037
WFG4,5,10,0.09 ,-0.956842284
WFG1,5,10,0.09 ,-0.791151252
Viennet3,5,10,0.09 ,-1.000860186
WFG4,5,10,0.09 ,-0.947566972
DTLZ2,5,10,0.09 ,-0.984745544
Viennet3,5,10,0.09 ,-0.999779806
WFG8,5,10,0.09 ,-0.904959929
DTLZ7,5,10,0.09 ,-0.944684122
WFG8,5,10,0.09 ,-0.902870319
WFG8,5,10,0.09 ,-0.881744284
DTLZ4,5,10,0.09 ,-0.978254871
WFG1,5,10,0.09 ,-0.738790517
WFG8,5,10,0.09 ,-0.895061464
DTLZ2,5,10,0.09 ,-0.979294704
WFG8,5,10,0.09 ,-0.898838691
DTLZ7,5,10,0.09 ,-0.934446584
DTLZ2,5,10,0.09 ,-0.977882459
WFG1,5,10,0.09 ,-0.786835842
WFG1,5,2,0.90 ,-0.824462313
WFG8,5,2,0.90 ,-0.877132522
Viennet3,5,2,0.90 ,-0.9987744
WFG8,5,2,0.90 ,-0.891810994
WFG1,5,2,0.90 ,-0.737263919
WFG1,5,2,0.90 ,-0.779579947
Viennet3,5,2,0.90 ,-1.0002897
WFG4,5,2,0.90 ,-0.950770746
DTLZ2,5,2,0.90 ,-0.976050757
DTLZ4,5,2,0.90 ,-0.979162055
WFG8,5,2,0.90 ,-0.885956438
DTLZ4,5,2,0.90 ,-0.982613301
DTLZ2,5,2,0.90 ,-0.975211927
Viennet3,5,2,0.90 ,-0.998445566
WFG4,5,2,0.90 ,-0.959836051
DTLZ7,5,2,0.90 ,-0.923455011
WFG8,5,2,0.90 ,-0.876163985
WFG4,1,9,0.51 ,-0.963604049
WFG1,10,8,0.83 ,-0.766417127
Viennet3,1,9,0.51 ,-0.997741001
